season,week,team,opponent,player_id,player_name,completions,pass_attempts,passing_tds,passing_yards,receiving_yards,receptions,rushing_attempts,rushing_yards
2026,2,Abilene Christian,Stephen F. Austin,4685342,Cristian Driver,0.0,0.0,0.0,0.0,75.0,5.0,0.0,0.0
2026,2,Abilene Christian,Stephen F. Austin,4690984,Jayden York,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0
2026,2,Abilene Christian,Stephen F. Austin,5078014,Brandon Johnson,0.0,0.0,0.0,0.0,0.0,0.0,5.0,13.0
2026,2,Abilene Christian,Stephen F. Austin,5089179,Brian Henry,0.0,0.0,0.0,0.0,12.0,2.0,0.0,0.0
2026,2,Abilene Christian,Stephen F. Austin,5150786,Makenzie McGill,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0
2026,2,Abilene Christian,Stephen F. Austin,5222189,Seth Weller,0.0,0.0,0.0,0.0,25.0,1.0,0.0,0.0
2026,2,Abilene Christian,Stephen F. Austin,5226080,John David Black,21.0,38.0,1.0,267.0,0.0,0.0,5.0,-25.0
2026,2,Abilene Christian,Stephen F. Austin,5231153,Raydrian Baltrip,0.0,0.0,0.0,0.0,50.0,3.0,0.0,0.0
2026,2,Abilene Christian,Stephen F. Austin,5231157,Deonte Dean,0.0,0.0,0.0,0.0,22.0,3.0,13.0,36.0
2026,2,Abilene Christian,Stephen F. Austin,5441620,Romelo Boykin,0.0,0.0,0.0,0.0,77.0,6.0,0.0,0.0
2026,2,Air Force,North Dakota State,5223112,Kemper Hodges,0.0,0.0,0.0,0.0,0.0,0.0,6.0,24.0
2026,2,Air Force,North Dakota State,5223119,Owen Allen,0.0,0.0,0.0,0.0,0.0,0.0,13.0,53.0
2026,2,Air Force,North Dakota State,5223131,Rocco Conti,0.0,0.0,0.0,0.0,21.0,1.0,4.0,9.0
2026,2,Air Force,North Dakota State,5223147,Simon Kibbee,0.0,0.0,0.0,0.0,27.0,2.0,0.0,0.0
2026,2,Air Force,North Dakota State,5223149,Adam Hrynciw,0.0,0.0,0.0,0.0,42.0,2.0,0.0,0.0
2026,2,Air Force,North Dakota State,5238868,Liam Szarka,5.0,10.0,0.0,103.0,0.0,0.0,21.0,88.0
2026,2,Air Force,North Dakota State,5238869,Matt Long,0.0,0.0,0.0,0.0,55.0,2.0,1.0,2.0
2026,2,Air Force,North Dakota State,5295013,Mason Hayes,1.0,1.0,1.0,29.0,0.0,0.0,0.0,0.0
2026,2,Air Force,North Dakota State,5306440,Evan Medders,3.0,4.0,1.0,47.0,0.0,0.0,6.0,31.0
2026,2,Air Force,North Dakota State,5309672,Sylas Maiava-Alaimalo,0.0,0.0,0.0,0.0,34.0,2.0,0.0,0.0
2026,2,Akron,Robert Morris,4871050,Marquese Williams,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0
2026,2,Akron,Robert Morris,4912281,Taven Curry,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
2026,2,Akron,Robert Morris,5076653,Brandon Hills,0.0,0.0,0.0,0.0,26.0,2.0,1.0,2.0
2026,2,Akron,Robert Morris,5084582,Jordan Gant,0.0,0.0,0.0,0.0,20.0,4.0,12.0,81.0
2026,2,Akron,Robert Morris,5110019,Kyan Mason,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0
2026,2,Akron,Robert Morris,5146708,Sean Patrick,0.0,0.0,0.0,0.0,65.0,4.0,8.0,67.0
2026,2,Akron,Robert Morris,5146903,Brayden Roggow,5.0,6.0,0.0,55.0,0.0,0.0,2.0,11.0
2026,2,Akron,Robert Morris,5157315,Connor Cravaack,0.0,0.0,0.0,0.0,13.0,1.0,0.0,0.0
2026,2,Akron,Robert Morris,5157316,Paul Davis,0.0,0.0,0.0,0.0,13.0,1.0,0.0,0.0
2026,2,Akron,Robert Morris,5157324,Jean Louis III,0.0,0.0,0.0,0.0,48.0,2.0,0.0,0.0
2026,2,Akron,Robert Morris,5193102,Miles Burris,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
2026,2,Akron,Robert Morris,5193341,Marcel Williams,0.0,0.0,0.0,0.0,31.0,4.0,0.0,0.0
2026,2,Akron,Robert Morris,5198324,Cibastian Broughton,23.0,27.0,4.0,227.0,0.0,0.0,13.0,71.0
2026,2,Akron,Robert Morris,5295925,Titus Myers,0.0,0.0,0.0,0.0,9.0,1.0,0.0,0.0
2026,2,Akron,Robert Morris,5397589,Elijah Alexander,0.0,0.0,0.0,0.0,55.0,5.0,0.0,0.0
2026,2,Alabama,Kentucky,5079506,Daniel Hill,0.0,0.0,0.0,0.0,12.0,2.0,18.0,104.0
2026,2,Alabama,Kentucky,5079714,Rico Scott,0.0,0.0,0.0,0.0,44.0,3.0,0.0,0.0
2026,2,Alabama,Kentucky,5136836,Rydarrius Morgan,0.0,0.0,0.0,0.0,0.0,0.0,4.0,18.0
2026,2,Alabama,Kentucky,5141394,Lotzeir Brooks,0.0,0.0,0.0,0.0,54.0,5.0,1.0,3.0
2026,2,Alabama,Kentucky,5141629,Keelon Russell,16.0,23.0,1.0,188.0,0.0,0.0,8.0,-9.0
2026,2,Alabama,Kentucky,5141711,Ryan Williams,0.0,0.0,0.0,0.0,43.0,4.0,0.0,0.0
2026,2,Alabama,Kentucky,5164343,Marshall Pritchett,0.0,0.0,0.0,0.0,27.0,1.0,1.0,0.0
2026,2,Alabama,Kentucky,5264688,EJ Crowell,0.0,0.0,0.0,0.0,0.0,0.0,3.0,17.0
2026,2,Alabama,Kentucky,5327659,Trae'shawn Brown,0.0,0.0,0.0,0.0,8.0,1.0,5.0,22.0
2026,2,Alabama A&M,Tennessee State,4568411,Cornelious Brown,24.0,38.0,3.0,326.0,0.0,0.0,2.0,-12.0
2026,2,Alabama A&M,Tennessee State,4806381,Jarel Williams,0.0,0.0,0.0,0.0,175.0,8.0,0.0,0.0
