season,player_id,player_name,team,position,overall_usage,rush_usage,pass_usage
2026,239093,Jeff Logan,Central Connecticut,RB,0.032,0.083,0.0
2026,518623,Isaiah Jones,Maine,TE,0.016,0.038,0.0
2026,1967653,Brian Green Jr.,Gardner-Webb,WR,0.056,0.0,0.08
2026,3116099,Monte Harrison,Arkansas,WR,0.051,0.0,0.075
2026,3149911,Jordan Jackson,Arkansas-Pine Bluff,WR,0.082,0.0,0.194
2026,3949586,Jake Taylor,Duke,TE,0.037,0.0,0.104
2026,4241676,Kordell Rodgers,Texas Southern,TE,0.034,0.0,0.09
2026,4244849,Marcel Williams,Akron,WR,0.071,0.015,0.129
2026,4258419,Hunter Smith,Temple,RB,0.083,0.12,0.024
2026,4379471,Tyler Brown,Clemson,WR,0.055,0.0,0.113
2026,4429804,Jimmy Calloway,Tulsa,WR,0.121,0.015,0.25
2026,4430827,Troy Omeire,New Mexico,WR,0.042,0.0,0.13
2026,4431484,Jay Wilkerson,Louisiana Tech,WR,0.017,0.0,0.048
2026,4431516,Brandon Buckhaulter,UL Monroe,WR,0.037,0.013,0.077
2026,4431527,Derrick Davis Jr.,Western Carolina,RB,0.082,0.143,0.06
2026,4431633,Will Crowder,Troy,QB,0.468,0.13,0.965
2026,4431647,Chauncey Magwood,Purdue,WR,0.057,0.013,0.1
2026,4431976,Dustin Fletcher,Florida A&M,QB,0.249,0.145,0.344
2026,4432236,DaJon Harrison,Utah Tech,WR,0.038,0.0,0.07
2026,4432404,Jamall Mensah,Rhode Island,WR,0.047,0.0,0.098
2026,4432534,Tyree Saunders,North Carolina Central,WR,0.022,0.0,0.053
2026,4432669,Joshua Burrell,Arkansas State,TE,0.017,0.0,0.041
2026,4432691,Carlos Del Rio-Wilson,Marshall,QB,0.036,0.083,0.0
2026,4432703,Jake Garcia,Furman,QB,0.535,0.226,0.94
2026,4432727,Solomon Lewis,McNeese,WR,0.052,0.0,0.108
2026,4432757,Evan Pryor,Florida,RB,0.032,0.033,0.032
2026,4432774,Ty Thompson,Tulane,TE,0.037,0.0,0.075
2026,4433829,Mitch Griffis,East Carolina,QB,0.596,0.226,0.933
2026,4433968,Byron Cardwell,Mercyhurst,RB,0.125,0.261,0.032
2026,4461429,Elijah Caldwell,Eastern Kentucky,WR,0.085,0.01,0.19
2026,4463590,Caleb Anderson,Alcorn State,TE,0.033,0.0,0.095
2026,4522107,Daveon Walker,Texas Southern,WR,0.021,0.012,0.036
2026,4565355,Dexter Williams II,Tulsa,QB,0.054,0.029,0.081
2026,4568237,Matt Smith,Sam Houston,TE,0.022,0.0,0.034
2026,4568411,Cornelious Brown,Alabama A&M,QB,0.575,0.077,0.971
2026,4569262,Alex Honig,Northwestern,TE,0.055,0.0,0.115
2026,4571205,Talmage Brown,Southern Utah,RB,0.03,0.026,0.04
2026,4581420,Lonyatta Alexander,Idaho,WR,0.093,0.016,0.16
2026,4592532,Billy Edwards,North Carolina,QB,0.496,0.094,0.895
2026,4596437,AJ Green,Western Michigan,RB,0.017,0.032,0.0
2026,4597499,Mikey Keene,Arizona State,QB,0.099,0.0,0.194
2026,4601283,Trevion Cooley,Washington,RB,0.092,0.186,0.026
2026,4602644,Brendon Barrow,Rhode Island,RB,0.249,0.392,0.109
2026,4602895,Makai Cope,Missouri State,WR,0.024,0.0,0.059
2026,4602923,Jaylen Henderson,Liberty,QB,0.059,0.051,0.074
2026,4603185,Markus Allen,Middle Tennessee,WR,0.042,0.0,0.068
2026,4606658,Samari Collier,Delaware State,QB,0.092,0.143,0.029
2026,4606685,Logan Mauldin,Charlotte,TE,0.026,0.0,0.048
2026,4608801,Nae'Saan Dickerson,Grambling,WR,0.07,0.0,0.161
2026,4608922,Braydon Bennett,Eastern Michigan,RB,0.12,0.273,0.018
2026,4612624,Antwan Roberts,Arizona,RB,0.054,0.121,0.0
2026,4613112,Terence Loville,Portland State,WR,0.134,0.011,0.228
